Dt-33-1|Moisés abençoa as tribos
Dt-34-1|Moisés morre
Js-1-1|O Senhor comissiona Josué
Js-2-1|Raabe e os espiões
Js-3-1|A travessia do Jordão
Js-5-1|A circuncisão em Gilgal
Js-5-13|A conquista de Jericó
Js-7-1|O pecado de Acã
Js-8-1|A destruição de Ai
Js-8-30|A aliança renovada no monte Ebal
Js-9-1|O ardil do povo de Gibeão
Js-10-1|Josué socorre Gibeão e o Sol pára
Js-10-16|A morte de cinco reis amorreus
Js-10-28|A conquista de cidades do sul
Js-11-1|A derrota dos reis do norte
Js-12-1|A lista dos reis derrotados
Js-13-1|A terra por conquistar
Js-13-8|A divisão da terra ao oriente do Jordão
Js-14-1|A divisão da terra ao ocidente do Jordão
Js-14-6|Hebrom é dado a Calebe
Js-15-1|O território dado a Judá
Js-16-1|O território de Efraim e Manassés
Js-18-1|A divisão do resto do território
Js-19-49|O território de Josué
Js-20-1|As cidades de refúgio
Js-21-1|As cidades dos levitas
Js-22-1|As tribos orientais regressam a Gileade
Js-23-1|Josué despede-se
Js-24-1|A aliança é renovada em Siquem
Js-24-29|A morte de Josué
Jz-1-1|Israel luta contra os restantes cananeus
Jz-2-1|O anjo do Senhor em Boquim
Jz-2-6|Josué morre
Jz-2-10|Desobediência e derrota
Jz-3-1|Os povos que Israel não expulsou
Jz-3-8|O juiz Otniel
Jz-3-15|Eude
Jz-3-31|Sangar
Jz-4-1|Débora
Jz-5-1|O cântico de Débora
Jz-6-1|Deus chama Gedeão
Jz-7-1|Gedeão vence os midianitas
Jz-8-1|Gedeão persegue dois reis
Jz-8-22|O éfode de Gedeão
Jz-8-28|A morte de Gedeão
Jz-9-1|Abimeleque é feito rei
Jz-10-1|Tola
Jz-10-3|Jair
Jz-10-6|Jefta
Jz-12-1|Efraim contra Jefta
Jz-12-8|Ibzã, Elom e Abdom
Jz-13-1|O nascimento de Sansão
Jz-14-1|O casamento de Sansão
Jz-15-1|A vingança de Sansão sobre os filisteus
Jz-16-1|Sansão e Dalila
Jz-16-23|A morte de Sansão
Jz-17-1|Os ídolos do Mica
Jz-18-1|A tribo de Dan estabelece-se em Laís
Jz-19-1|O levita e a sua concubina
Jz-20-1|Os israelitas lutam contra os benjamitas
Jz-21-1|Mulheres para os benjamitas
Rt-1-1|Noemi e Rute
Rt-2-1|Rute no campo de Boaz
Rt-3-1|Rute e Boaz na eira
Rt-4-1|Boaz casa com Rute
Rt-4-13|A genealogia de David
1Sm-1-1|O nascimento de Samuel
1Sm-2-1|A oração de Ana
1Sm-2-12|A maldade dos filhos de Eli
1Sm-2-27|Profecia contra a casa de Eli
1Sm-3-1|Samuel chamado pelo Senhor
1Sm-4-1|A arca é capturada pelos filisteus
1Sm-4-12|A morte de Eli
1Sm-5-1|A arca em Asdode e em Ecrom
1Sm-6-1|A arca é devolvida a Israel
1Sm-7-7|A derrota dos filisteus em Mizpá
1Sm-8-1|Os israelitas querem um rei
1Sm-9-1|Saul procura Samuel
1Sm-10-1|Saul ungido por Samuel
1Sm-10-9|Saul feito rei
1Sm-11-1|Saul salva a cidade de Jabes
1Sm-11-12|Saul confirmado como rei
1Sm-12-1|O discurso de Samuel
1Sm-13-1|Samuel repreende Saul
1Sm-13-15|Israel sem armas
1Sm-14-1|Jónatas ataca os filisteus
1Sm-14-15|Israel derrota os filisteus
1Sm-14-24|Saul amaldiçoa quem comer
1Sm-14-49|A família de Saul
1Sm-15-1|O Senhor rejeita Saul como rei
1Sm-16-1|David é escolhido e ungido
1Sm-16-14|David ao serviço de Saul
1Sm-17-1|David e Golias
1Sm-18-1|Saul tem ciúmes de David
1Sm-19-1|Saul tenta matar David
1Sm-20-1|David e Jónatas fazem uma aliança
1Sm-21-1|David em Nobe
1Sm-21-10|David em Gate
1Sm-22-1|David em Adulão e Mizpá
1Sm-22-5|Saul mata os sacerdotes de Nobe
1Sm-23-1|David salva Queila
1Sm-23-7|Saul persegue David
1Sm-24-1|David poupa a vida a Saul
1Sm-25-1|David, Nabal e Abigail
1Sm-26-1|David poupa de novo a vida de Saul
1Sm-27-1|David entre os filisteus
1Sm-28-1|Saul e a bruxa de Endor
1Sm-29-1|Os filisteus rejeitam o apoio de David
1Sm-30-1|David destrói os amalequitas
1Sm-31-1|Morte de Saul e dos filhos
2Sm-1-1|David sabe da morte de Saul
2Sm-1-17|Cântico de David sobre a morte de Saul e de Jónatas
2Sm-2-1|David é ungido rei sobre Judá
2Sm-2-8|Guerra entre os exércitos de David e de Saul
2Sm-3-6|Abner junta-se a David
2Sm-3-22|Joabe mata Abner
2Sm-4-1|Isbosete é assassinado
2Sm-5-1|David reina sobre Israel
2Sm-5-6|David conquista Jerusalém
2Sm-5-17|David derrota os filisteus
2Sm-6-1|A arca é trazida para Jerusalém
2Sm-7-1|A promessa de Deus a David
2Sm-7-17|A oração de David
2Sm-8-1|As vitórias de David
2Sm-8-15|Os oficiais de David
2Sm-9-1|David e Mefibosete
2Sm-10-1|David derrota os amonitas
2Sm-11-1|David e Bate-Seba
2Sm-12-1|Natã repreende David
2Sm-13-1|Amnom e Tamar
2Sm-13-23|Absalão mata Amnom
2Sm-14-1|Absalão volta a Jerusalém
2Sm-15-1|A conspiração de Absalão
2Sm-15-13|A fuga de David
2Sm-16-1|David e Ziba
2Sm-16-5|Simei amaldiçoa David
2Sm-16-15|O conselho de Husai e Aitofel
2Sm-18-1|A morte de Absalão
2Sm-18-19|David chora a morte de Absalão
2Sm-19-11|David volta a Jerusalém
2Sm-20-1|Seba rebela-se contra David
2Sm-21-1|A vingança dos gibeonitas
2Sm-21-15|Guerra contra os filisteus
2Sm-22-1|Cântico de David
2Sm-23-1|As últimas palavras de David
2Sm-23-8|Os grandes chefes militares de David
2Sm-24-1|David manda fazer um recenseamento
2Sm-24-18|David constrói um altar
1Rs-1-1|Adonias pretende ser rei
1Rs-1-28|Salomão é proclamado rei
1Rs-2-1|David aconselha Salomão
1Rs-2-13|O trono de Salomão é estabelecido
1Rs-3-1|Salomão pede sabedoria
1Rs-4-1|Os oficiais e governadores de Salomão
1Rs-4-29|A sabedoria de Salomão
1Rs-5-1|Aliança com o rei de Tiro
1Rs-5-7|O material para o templo
1Rs-6-1|Salomão edifica o templo
1Rs-7-1|O palácio de Salomão
1Rs-7-13|Mobiliário para o templo
